comentario,sentimiento
Tuve que esperar mucho para que atendieran mi llamada,negativo
La selección de opciones no me pareció ni grande ni pequeña,neutro
La calidad de construcción es de primer nivel,positivo
No obtuve respuesta a mi correo de soporte,negativo
El sabor de la comida fue mejor de lo que esperaba,positivo
La variedad de productos disponibles es medianamente amplia,neutro
No recibí ninguna notificación de envío,negativo
La promoción de lanzamiento me pareció bastante buena,positivo
El empaque se veía desgastado,negativo
El proceso de registro fue simple y rápido,positivo
La descripción del servicio era demasiado general,neutro
